Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,25.230000,29.100000,24.539000,24.539000,23.498455,3100
2019-11-08,24.639999,24.900000,24.350000,24.886999,23.831699,2800
2019-11-11,24.700001,24.700001,24.400000,24.687000,23.640181,4600
2019-11-12,24.799000,25.299999,24.775000,24.775000,23.724449,4500
2019-11-13,24.629999,24.629999,24.350000,24.520000,23.480261,4800
2019-11-14,24.360001,24.493999,24.299999,24.493999,23.455362,800
2019-11-15,25.000000,25.330000,24.860001,25.285999,24.213779,2600
2019-11-18,25.129999,25.610001,25.049000,25.535000,24.452221,5400
2019-11-19,26.020000,26.070000,25.940001,25.940001,24.840050,2100
2019-11-20,26.000000,26.000000,25.490000,25.684000,24.594902,5100
2019-11-21,25.719999,25.730000,25.580000,25.580000,24.495314,1100
2019-11-22,25.469999,25.879999,25.469999,25.870001,24.773018,3100
2019-11-25,26.250000,26.990000,26.250000,26.943001,25.800518,6400
2019-11-26,27.120001,27.309999,27.110001,27.240999,26.085880,12000
2019-11-27,27.799999,27.809999,27.290001,27.549999,26.381777,3800
2019-11-29,27.410000,27.559999,27.219999,27.254000,26.098330,3700
2019-12-02,26.790001,26.790001,25.229000,25.791000,24.697367,17900
2019-12-03,24.910000,25.670000,24.410999,25.622000,24.535534,8200
2019-12-04,25.830000,25.830000,25.500000,25.500000,24.418705,3700
2019-12-05,25.459999,25.500000,25.180000,25.245001,24.174520,3200
2019-12-06,25.549999,25.790001,25.520000,25.520000,24.437859,2500
2019-12-09,25.492001,25.492001,25.492001,25.492001,24.411045,100
2019-12-10,25.277000,25.277000,24.930000,24.979000,23.919798,1600
2019-12-11,25.006001,25.270000,24.990000,25.212000,24.142918,3200
2019-12-12,25.500000,25.805000,25.389999,25.705999,24.615971,3500
2019-12-13,25.700001,26.304001,25.700001,25.822001,24.727053,2200
2019-12-16,27.000000,27.325001,26.480000,27.325001,26.166319,4200
2019-12-17,27.049999,27.049999,26.500000,26.759001,25.624321,2200
2019-12-18,27.059999,27.360001,27.059000,27.059000,25.911598,2900
2019-12-19,27.400000,27.820000,27.389999,27.802000,26.623093,7500
2019-12-20,29.520000,29.520000,27.540001,27.540001,26.372202,2400
2019-12-23,27.934999,28.190001,27.823000,27.920000,26.753576,3800
2019-12-24,27.959000,27.995001,27.959000,27.995001,26.825443,3700
2019-12-26,28.306999,28.670000,28.306999,28.500000,27.309345,5800
2019-12-27,29.000000,29.000000,28.260000,28.350000,27.165611,15500
2019-12-30,27.450001,27.770000,27.261999,27.444000,26.297462,6500
2019-12-31,27.489000,27.825001,27.489000,27.825001,26.662546,1500
2020-01-02,28.520000,29.184000,28.520000,29.184000,27.964769,4100
2020-01-03,28.500000,29.000000,28.414000,28.576000,27.382170,10900
2020-01-06,28.000000,29.730000,27.940001,29.726000,28.484125,5800
2020-01-07,30.120001,30.120001,29.700001,29.811001,28.565575,4400
2020-01-08,30.320000,31.049999,30.073000,30.642000,29.361858,5600
2020-01-09,31.431999,31.563999,30.910000,31.316000,30.007700,13400
2020-01-10,31.250000,31.410000,30.872000,30.954000,29.660824,7000
2020-01-13,31.290001,32.187000,31.290001,32.098999,30.757988,23200
2020-01-14,32.049999,32.874001,31.750000,32.185001,30.840397,12200
2020-01-15,32.799999,33.689999,32.119999,32.325001,30.974546,12600
2020-01-16,33.000000,34.786999,32.925999,33.589001,32.185741,13900
2020-01-17,35.160000,35.160000,33.422001,33.644001,32.238441,27500
2020-01-21,33.650002,33.830002,33.150002,33.634998,32.229816,18300
2020-01-22,33.950001,34.270000,33.500000,33.500000,32.100456,12000
2020-01-23,33.470001,34.330002,33.470001,34.290001,32.857456,13000
2020-01-24,34.750000,35.049999,32.459999,33.493999,32.094707,44000
2020-01-27,31.320000,31.927000,30.600000,31.552999,30.234798,16600
2020-01-28,31.980000,32.689999,31.730000,32.584000,31.222725,5300
2020-01-29,33.889999,33.889999,32.381001,32.425999,31.071325,16100
2020-01-30,31.200001,32.340000,30.737000,32.340000,30.988920,15300
2020-01-31,32.380001,32.380001,30.900000,31.039000,29.742271,12000
2020-02-03,32.369999,32.580002,32.099998,32.374001,31.021500,18900
2020-02-04,33.080002,34.459999,33.080002,34.368999,32.933151,23000
2020-02-05,36.770000,36.770000,33.303001,33.500000,32.100456,28200
2020-02-06,34.900002,34.919998,33.980000,34.639000,33.191872,14900
2020-02-07,34.419998,34.702000,34.035999,34.292999,32.860329,8700
2020-02-10,34.099998,35.119999,34.099998,35.119999,33.652779,22600
2020-02-11,35.701000,36.180000,35.320000,35.349998,33.873169,11700
2020-02-12,36.029999,36.290001,35.833000,36.196999,34.684784,10800
2020-02-13,35.580002,36.720001,35.187000,36.326000,34.808395,16900
2020-02-14,36.860001,36.970001,36.391998,36.700001,35.166771,17200
2020-02-18,38.000000,38.000000,36.751999,37.431000,35.867229,12100
2020-02-19,38.180000,38.180000,37.431999,37.549999,35.981258,18900
2020-02-20,38.245998,38.603001,36.570000,37.750000,36.172905,14900
2020-02-21,37.217999,37.217999,35.451000,35.854000,34.356113,19900
2020-02-24,30.990000,32.560001,30.938999,32.028999,30.690912,60500
2020-02-25,32.279999,32.279999,28.320000,28.732000,27.531652,33600
2020-02-26,28.860001,30.405001,28.023001,29.650000,28.411301,32000
2020-02-27,26.000000,28.999001,26.000000,26.473000,25.367027,42300
2020-02-28,24.030001,26.100000,23.370001,25.930000,24.846712,41600
2020-03-02,27.350000,28.100000,25.930000,28.100000,26.926056,64800
2020-03-03,28.900000,31.990000,25.260000,26.084000,24.994278,57300
2020-03-04,27.799999,32.000000,26.100000,28.495001,27.304554,20000
2020-03-05,26.990000,27.650000,25.500000,26.035999,24.948284,28600
2020-03-06,24.000000,24.985001,22.931999,24.549999,23.524364,36200
2020-03-09,20.250000,21.805000,17.680000,21.559999,20.659279,25900
2020-03-10,22.280001,22.280001,18.809999,21.997999,21.078981,41400
2020-03-11,21.309999,21.309999,18.080000,18.726999,17.944635,28000
2020-03-12,16.389999,16.627001,13.680000,14.001000,13.416076,68100
2020-03-13,16.540001,16.840000,13.830000,16.587999,15.894997,63800
2020-03-16,14.930000,16.000000,10.670000,12.090000,11.584911,61800
2020-03-17,11.960000,12.990000,10.250000,12.361000,11.844590,20900
2020-03-18,10.774000,12.240000,9.330000,11.307000,10.834623,34500
2020-03-19,10.060000,13.790000,9.970000,12.897000,12.358197,40300
2020-03-20,13.850000,17.940001,11.730000,12.750000,12.217339,74900
2020-03-23,11.480000,13.140000,9.410000,12.540000,12.016111,35700
2020-03-24,13.790000,15.490000,13.446000,15.480000,14.833286,75100
2020-03-25,15.280000,16.990000,12.277000,14.474000,13.869314,46800
2020-03-26,14.580000,16.499001,14.580000,16.469999,15.781926,35900
2020-03-27,13.670000,15.940000,13.670000,15.142000,14.509407,22600
2020-03-30,15.310000,16.240999,15.110000,16.240999,15.562493,21700
2020-03-31,16.180000,17.059999,15.290000,15.627000,14.974145,44600
2020-04-01,14.250000,14.610000,13.494000,13.704000,13.131483,48700
2020-04-02,13.871000,14.590000,13.180000,13.840000,13.261802,43400
2020-04-03,14.000000,14.146000,12.861000,13.390000,12.830602,33700
2020-04-06,15.500000,16.653000,14.830000,16.540001,15.849003,50500
2020-04-07,18.650000,18.650000,16.490000,16.570000,15.877748,72400
2020-04-08,16.570000,18.305000,16.570000,18.080000,17.324665,47500
2020-04-09,18.700001,19.520000,18.100000,18.639999,17.861269,76200
2020-04-13,18.639999,18.900000,17.900000,18.871000,18.082619,22300
2020-04-14,20.400000,21.059999,19.867001,20.870001,19.998108,35200
2020-04-15,19.820000,20.639999,19.260000,20.340000,19.490248,24400
2020-04-16,20.910000,21.209999,20.187000,20.820000,19.950195,36500
2020-04-17,22.190001,22.190001,21.150000,21.760000,20.850925,45200
2020-04-20,21.540001,25.500000,21.410000,22.379000,21.444063,186100
2020-04-21,21.820000,21.820000,19.240000,19.799999,18.972807,62300
2020-04-22,21.530001,22.540001,21.250000,22.250000,21.320454,41100
2020-04-23,22.260000,23.127001,21.990000,22.180000,21.253378,47300
2020-04-24,22.670000,23.459999,21.891001,23.400000,22.422409,31300
2020-04-27,24.650000,24.850000,24.167000,24.438999,23.418001,64400
2020-04-28,25.450001,25.450001,22.790001,23.000000,22.039120,59200
2020-04-29,24.889999,25.830000,24.275000,25.440001,24.377184,77300
2020-04-30,25.500000,25.870001,24.811001,25.270000,24.214287,40200
2020-05-01,23.480000,24.100000,21.270000,22.975000,22.015165,97400
2020-05-04,22.520000,24.160000,22.295000,24.160000,23.150658,46800
2020-05-05,25.030001,26.059999,24.257000,25.150000,24.099298,113300
2020-05-06,25.600000,26.309999,24.827000,25.219000,24.165417,72300
2020-05-07,27.299999,28.240000,26.834999,27.709999,26.552347,156700
2020-05-08,28.520000,29.070000,27.790001,28.924999,27.716589,97300
2020-05-11,28.350000,31.500000,28.250000,29.709999,28.468794,154700
2020-05-12,30.030001,30.270000,28.049999,28.100000,26.926056,113100
2020-05-13,27.950001,28.520000,25.180000,26.632999,25.520342,133200
2020-05-14,25.639999,27.155001,25.270000,27.014999,25.886383,49500
2020-05-15,26.420000,28.700001,26.420000,28.575001,27.381212,82900
2020-05-18,29.610001,30.969999,29.301001,29.330000,28.104670,93500
2020-05-19,29.740000,30.680000,29.360001,29.360001,28.133417,47100
2020-05-20,30.770000,31.610001,30.719999,31.459999,30.145683,90100
2020-05-21,31.920000,32.009998,30.180000,30.540001,29.264120,87200
2020-05-22,30.910000,31.600000,30.200001,31.600000,30.279835,84100
2020-05-26,33.599998,33.709000,31.129999,31.260000,29.954039,114000
2020-05-27,30.950001,31.570000,28.010000,31.570000,30.251087,141300
2020-05-28,30.750000,33.279999,30.750000,31.514999,30.198385,80500
